0.04029,0.34591,0.04329,0.02836
0.20089,0.01381,0.01764,0.01108
0.00456,0.00619,0.12186,0.00201
0.01362,0.00001,0.00588,0.00511
0.05125,0.62973,0.00053,0.01392
0.00000,0.00000,0.00000,0.00000
0.00004,0.11249,0.00000,0.00109
0.00000,0.00000,0.00000,0.00000
0.02352,0.00504,0.26932,0.01453
0.03441,0.00635,0.74516,0.00000
0.01211,0.94624,0.00001,0.01477
0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000
0.00608,0.19985,0.02990,0.31184
0.09020,0.22413,0.99968,0.09684
0.00000,0.00000,0.00000,0.00000
