0.24323,0.48677,0.00962,0.01255
0.01508,0.00181,0.09646,0.00598
0.54471,0.02322,0.01447,0.01778
0.02048,0.00000,0.00270,0.00240
0.00602,0.40331,0.00346,0.02118
0.00000,0.00000,0.00000,0.00000
0.00000,0.53548,0.00000,0.00590
0.00000,0.00000,0.00000,0.00000
0.15896,0.00002,0.14533,0.08208
0.02619,0.02136,0.60058,0.00000
0.01728,0.90109,0.03013,0.02936
0.00000,0.00000,0.00000,0.00000
0.00000,0.00000,0.00000,0.00000
0.00000,0.07809,0.05820,0.69393
0.13474,0.22158,0.99680,0.19036
0.00000,0.00000,0.00000,0.00000
